episode,env_steps,elapsed_time_s,steps_per_s,episode_return,rolling20_return,avg_loss
730,300110,493.13,608.58,278.11,266.32,0.6508
731,300335,493.50,608.58,252.43,265.80,0.6419
732,300529,493.83,608.56,269.83,265.19,0.8295
733,300711,494.13,608.57,250.82,264.26,0.7048
734,300938,494.50,608.57,242.42,263.78,0.9034
735,301126,494.81,608.57,277.09,262.59,0.8077
736,301634,495.66,608.55,238.87,262.31,0.7619
737,301907,496.12,608.53,284.42,263.85,0.7139
738,302182,496.58,608.52,276.26,264.72,0.6443
739,302452,497.01,608.54,274.64,264.40,0.8213
740,302849,497.68,608.53,274.01,264.93,0.6624
741,303206,498.26,608.53,261.69,264.12,0.7170
742,303525,498.78,608.53,245.97,261.91,0.6492
743,303792,499.21,608.54,262.12,262.12,0.6598
744,303999,499.56,608.54,258.37,260.65,0.9784
745,304313,500.06,608.55,268.09,261.62,0.6406
746,304754,500.78,608.56,239.79,260.84,0.6905
747,304957,501.11,608.56,261.69,261.77,0.7733
748,305132,501.40,608.56,271.96,261.08,0.8744
749,305415,501.86,608.56,259.97,262.43,0.8492
750,305850,502.59,608.54,271.45,262.09,0.6587
751,306158,503.11,608.53,259.34,262.44,0.7406
752,306354,503.42,608.54,277.84,262.84,0.8993
753,306657,503.93,608.53,229.18,261.76,0.6564
754,306869,504.27,608.54,235.60,261.42,0.5611
755,307484,505.27,608.55,255.95,260.36,0.6650
756,308208,506.44,608.57,254.50,261.14,0.6853
757,308653,507.17,608.57,226.85,258.26,0.7264
758,309109,507.91,608.59,279.10,258.41,0.6844
759,309441,508.46,608.58,273.32,258.34,0.7435
760,309711,508.90,608.59,315.79,260.43,0.6580
761,309933,509.26,608.60,283.01,261.49,0.8489
762,310190,509.69,608.59,296.47,264.02,0.4803
763,310507,510.20,608.60,258.12,263.82,0.8246
764,310837,510.76,608.58,271.00,264.45,0.5937
765,311200,511.34,608.60,289.22,265.51,0.6527
766,311466,511.77,608.60,260.60,266.55,0.8195
767,311661,512.08,608.62,285.59,267.74,0.5622
768,311873,512.43,608.62,268.97,267.59,0.8541
769,312209,512.97,608.63,267.07,267.95,0.6813
770,312688,513.77,608.61,249.73,266.86,0.7601
771,312985,514.27,608.60,264.82,267.14,0.7256
772,313239,514.69,608.60,312.68,268.88,0.6884
773,313626,515.32,608.61,253.53,270.10,0.7074
774,314052,516.02,608.61,296.75,273.15,0.6514
775,314279,516.39,608.61,277.42,274.23,0.5503
776,314466,516.69,608.62,260.10,274.51,0.8167
777,314885,517.38,608.62,262.79,276.30,0.6490
778,315198,517.88,608.63,292.97,277.00,0.9762
779,315460,518.33,608.61,227.01,274.68,0.7152
780,315743,518.81,608.59,266.13,272.20,0.7015
781,315976,519.22,608.56,288.15,272.46,0.8342
782,316340,519.86,608.51,258.39,270.55,0.6393
783,316840,520.67,608.52,267.46,271.02,0.6165
784,317682,522.07,608.51,231.40,269.04,0.6852
785,317879,522.40,608.49,240.72,266.61,0.6790
786,318227,522.96,608.51,256.62,266.41,0.6456
